# id	left	top	right	bottom	texture_id
[SPRITES]
#Bush
60001	307	307	322	322	30
60002	324	307	339	322	30
60003	307	324	322	339	30
60004	324	324	339	339	30
60005	341	324	356	339	30
60006	307	341	322	356	30
60007	324	341	339	356	30

#Small bush
61001	375	324	390	339	30

#Dark bush
63001	715	69	730	84	30
63002	732	69	747	84	30
63003	715	86	730	101	30
63004	732	86	747	101	30

#Sky background
#Cloud
62001	715	1	730	16	30
62002	732	1	747	16	30
62003	749	1	764	16	30
62004	715	18	730	33	30
62005	732	18	747	33	30
62006	749	18	764	33	30

#Flower
62007	800	86	815	101	30
#Star
62008	817	86	832	101	30
#Mushroom
62009	834	86	849	101	30
