# id	left	top	right	bottom	texture_id
[SPRITES]
20001	443	154	458	169	30
20002	460	154	475	169	30
20003	477	154	492	169	30

20004	443	171	458	186	30
20005	460	171	475	186	30
20006	477	171	492	186	30

#blue brick
20007	1055	188	1070	203	30
#cloud
20008	698	1	713	16	30

21000	1004	18	1019	33	30
#striped brick (platform)
20010	443	188	458	203	30
20011	460	188	475	203	30
20012	477	188	492	203	30
20013	443	205	458	220	30
20014	460	205	475	220	30
20015	477	205	492	220	30
#striped brick
20016	1004	18	1019	33	30
