# id	left	top	right	bottom	texture_id
[SPRITES]
#Pink
70001	919	137	934	152	30
70002	936	137	951	152	30
70003	953	137	968	152	30
70004	919	154	934	169	30
70005	936	154	951	169	30
70006	953	154	968	169	30
70007	919	171	934	186	30
70008	936	171	951	186	30
70009	953	171	968	186	30

#Blue
71001	970	137	985	152	30
71002	987	137	1002	152	30
71003	1004	137	1019	152	30
71004	970	154	985	169	30
71005	987	154	1002	169	30
71006	1004	154	1019	169	30
71007	970	171	985	186	30
71008	987	171	1002	186	30
71009	1004	171	1019	186	30

#Green
72001	919	188	934	203	30
72002	936	188	951	203	30
72003	953	188	968	203	30
72004	919	205	934	220	30
72005	936	205	951	220	30
72006	953	205	968	220	30
72007	919	222	934	237	30
72008	936	222	951	237	30
72009	953	222	968	237	30

#White
73001	970	188	985	203	30
73002	987	188	1002	203	30
73003	1004	188	1019	203	30
73004	970	205	985	220	30
73005	987	205	1002	220	30
73006	1004	205	1019	220	30
73007	970	222	985	237	30
73008	987	222	1002	237	30
73009	1004	222	1019	237	30

#Shadow
74000	1039	221	1046	228	30
75000	1030	230	1037	237	30

